Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
2,47,597.9496,2.6651,126.3733,3.3197,0.433600,N/A,N/A,N/A
2,48,594.5735,2.5090,118.3376,2.5758,0.426100,N/A,N/A,N/A
2,49,594.5735,2.7548,118.3376,2.5758,0.430200,N/A,N/A,N/A
2,50,583.8117,3.5778,109.2543,2.9403,0.428900,N/A,N/A,N/A
3,1,598.0056,3.0846,120.6353,3.0996,0.436600,N/A,N/A,N/A
3,2,574.1713,3.1630,119.7684,3.1308,0.426600,N/A,N/A,N/A
3,3,574.1713,3.1841,119.0552,3.1308,0.426600,N/A,N/A,N/A
3,4,575.4551,3.3291,110.4028,2.8149,0.425500,N/A,N/A,N/A
3,5,590.5766,3.0846,115.0665,3.1512,0.433700,N/A,N/A,N/A
3,6,598.6741,3.7234,110.0596,3.2281,0.436100,N/A,N/A,N/A
3,7,583.1385,2.8486,129.4377,3.8961,0.432000,N/A,N/A,N/A
3,8,579.7842,3.2739,120.1337,2.9825,0.428300,N/A,N/A,N/A
3,9,579.7842,3.4442,120.1337,3.0419,0.428100,N/A,N/A,N/A
3,10,584.1356,3.4337,112.1216,2.9869,0.430000,N/A,N/A,N/A
3,11,583.9508,3.4337,112.1216,2.9869,0.429900,N/A,N/A,N/A
3,12,599.8481,3.1902,120.8226,2.8569,0.436500,N/A,N/A,N/A
3,13,586.0881,3.1902,120.8226,2.8569,0.430500,N/A,N/A,N/A
3,14,594.1287,3.8297,111.7743,3.3908,0.434000,N/A,N/A,N/A
3,15,581.6122,3.0420,114.8558,3.2496,0.430200,N/A,N/A,N/A
3,16,584.4839,3.2794,110.1900,3.3093,0.431900,N/A,N/A,N/A
3,17,584.4839,3.2794,112.4517,3.2151,0.431500,N/A,N/A,N/A
3,18,592.9142,3.2517,115.8251,3.4501,0.436200,N/A,N/A,N/A
3,19,592.9142,3.6097,118.1577,3.4501,0.435000,N/A,N/A,N/A
3,20,594.4352,2.9990,124.1555,2.6791,0.432700,N/A,N/A,N/A
3,21,600.0000,2.9990,117.3522,2.6791,0.435000,N/A,N/A,N/A
3,22,590.0615,3.5019,113.9891,3.0193,0.432500,N/A,N/A,N/A
3,23,592.7928,3.5468,113.9891,3.0193,0.433400,N/A,N/A,N/A
3,24,572.8424,3.8138,109.2781,3.4043,0.424100,N/A,N/A,N/A
3,25,587.2816,3.8138,110.0008,3.4043,0.430900,N/A,N/A,N/A
3,26,597.9496,2.8199,121.9710,3.4489,0.436100,N/A,N/A,N/A
3,27,581.1861,2.8199,123.1255,3.3163,0.428900,N/A,N/A,N/A
3,28,583.4893,3.5700,114.6243,3.1957,0.430000,N/A,N/A,N/A
3,29,583.1345,3.5700,112.3761,2.9763,0.428800,N/A,N/A,N/A
3,30,569.1975,3.0100,123.9432,3.6323,0.426100,N/A,N/A,N/A
3,31,554.8766,3.0100,127.2227,3.6323,0.419600,N/A,N/A,N/A
3,32,579.1001,2.9990,115.4645,3.1546,0.428600,N/A,N/A,N/A
3,33,579.1001,2.9990,115.4645,3.1546,0.428600,N/A,N/A,N/A
3,34,594.2911,3.0846,117.8509,3.1254,0.435200,N/A,N/A,N/A
3,35,594.2911,3.0846,118.6265,2.8356,0.433800,N/A,N/A,N/A
3,36,588.7585,2.5065,117.0035,2.9781,0.425800,N/A,N/A,N/A
3,37,574.3351,2.9759,114.4148,2.9781,0.425600,N/A,N/A,N/A
3,38,595.5643,2.5308,128.1288,3.5650,0.431000,N/A,N/A,N/A
3,39,598.3907,2.8874,128.1288,3.4271,0.436800,N/A,N/A,N/A
3,40,577.8054,3.5853,113.2179,3.2937,0.427700,N/A,N/A,N/A
3,41,577.8054,3.5853,113.2179,3.2937,0.427700,N/A,N/A,N/A
