Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
3,4,577.0082,3.2192,118.2706,3.3179,0.514040,0.428600,0.642200,N/A
3,5,577.0082,3.1819,118.2706,3.2514,0.513760,0.428400,0.641800,N/A
3,6,580.2852,3.4185,122.5872,3.2885,0.514680,0.429600,0.642300,N/A
3,7,580.2852,3.4185,122.5872,3.2885,0.514680,0.429600,0.642300,N/A
3,8,550.6681,2.8066,120.2776,3.0496,0.501240,0.414600,0.631200,N/A
3,9,594.2471,3.2135,118.5939,3.7120,0.522340,0.437700,0.649300,N/A
3,10,577.6743,3.3755,120.3162,3.2615,0.513680,0.428400,0.641600,N/A
3,11,577.6743,3.3132,120.3162,3.1616,0.513340,0.428100,0.641200,N/A
3,12,583.0353,3.1237,124.0094,3.0427,0.514800,0.430000,0.642000,N/A
3,13,589.9377,3.3180,124.5406,3.0427,0.517400,0.433000,0.644000,N/A
3,14,567.3827,3.6214,123.7162,3.3835,0.508420,0.422700,0.637000,N/A
3,15,567.3827,3.4780,123.7162,3.3835,0.509480,0.423600,0.638300,N/A
3,16,579.4686,3.1758,120.6270,2.9673,0.513120,0.428200,0.640500,N/A
3,17,579.4686,3.1875,120.6270,2.9673,0.513160,0.428200,0.640600,N/A
3,18,580.4244,3.1417,120.6372,2.9158,0.513140,0.428300,0.640400,N/A
3,19,580.4244,3.1417,120.8563,2.7011,0.511840,0.427200,0.638800,N/A
3,20,579.3220,3.3557,116.2776,2.7516,0.511480,0.426800,0.638500,N/A
3,21,569.7093,3.4570,116.2776,3.0136,0.508640,0.423200,0.636800,N/A
3,22,594.2471,3.2135,118.5939,3.7120,0.522340,0.437700,0.649300,N/A
3,23,577.8134,3.1598,118.3949,3.0744,0.513060,0.427900,0.640800,N/A
3,24,573.1744,3.5729,115.9568,3.4109,0.511480,0.426000,0.639700,N/A
3,25,574.4907,3.5729,115.9568,3.4109,0.512100,0.426700,0.640200,N/A
3,26,573.6627,3.2577,116.2359,3.3574,0.512880,0.427200,0.641400,N/A
3,27,573.6627,3.2577,116.2756,3.2500,0.512360,0.426800,0.640700,N/A
3,28,566.5592,3.2577,118.0528,3.2424,0.509500,0.423500,0.638500,N/A
3,29,566.5592,3.0407,115.2058,3.2424,0.509500,0.423500,0.638500,N/A
3,30,578.6702,3.1640,122.6019,2.7173,0.511260,0.426500,0.638400,N/A
3,31,578.6702,3.2461,122.6019,2.3431,0.508580,0.424300,0.635000,N/A
